anchor top1 top2 top3 top4 top5 top6 top7 top8 top9 top10 top11 top12 top13 top14 top15 top16 top17 top18 top19 top20
8706 7985 11544 2795 5816 7144 8760 3166 5838 927 7931 7661 6993 6692 3500 7052 260 2987 2926 5282 8229
3850 9536 11679 10200 9432 4767 9495 11348 11744 10634 4729 796 8260 5531 8162 11376 8278 8600 3652 4953 10780
4831 3166 5816 2795 8760 7661 5166 11717 1842 7052 2987 8033 11544 1085 6692 10076 9568 9110 739 5282 7985
1579 2468 9704 3734 3729 477 3322 4334 2853 3728 285 4156 1755 11103 7572 3572 974 3321 2855 8866 478
3895 9808 8136 2666 3399 10968 3855 6443 3507 4559 5275 11102 3816 624 10967 5204 6725 8678 3200 254 7598
692 10945 6039 601 5930 10347 681 3894 598 10890 689 9894 1008 3030 570 7451 8600 4892 4750 9461 4768
216 3109 6940 209 1008 9894 10046 408 11786 1774 3374 238 6698 10806 5705 5387 2264 3105 125 4459 5696
9667 9477 2815 6443 8132 2820 1347 11281 9510 6725 3166 5816 8760 1842 5166 6692 11544 8033 7052 7661 2987
11722 3166 5816 1842 6692 5166 8033 7052 11717 2987 8760 7661 2795 11544 10076 3500 5282 2539 7025 9040 9926
11303 6339 9562 1047 9564 5696 5702 7295 8542 2007 11852 10374 1545 8311 5708 6271 11600 10532 1834 11640 6328
1352 1842 3166 8033 6692 5166 8760 7052 9040 11717 10076 2987 5282 877 2795 5816 3500 7661 8229 9110 11783
1156 2570 4075 2572 2743 2571 2752 2745 2744 2739 2749 4481 2484 2485 8109 1159 11015 10958 2481 2483 2569
2177 3166 1842 5166 8033 6692 5816 8760 7052 2987 11717 9040 7661 3500 5282 10076 2795 7025 7985 11544 2539
1700 7002 7670 288 2043 10980 11692 8116 1970 8701 11067 836 9979 4582 10972 7079 6007 1246 9065 11848 6535
81 5196 8538 8290 10697 5430 65 2256 5867 7539 11860 9310 1268 8670 788 11902 2995 6200 1228 7699 8696
11568 3166 5166 1842 5816 9926 11717 6692 7661 8760 7052 7214 2795 2539 7985 9040 8033 2987 11843 5282 11544
532 8843 5120 11178 5567 10862 9247 6317 3499 7731 7985 3166 5816 380 1842 11544 5282 3500 8760 6692 7052
5828 10518 10523 6027 4895 6317 7965 5865 412 7368 8534 10782 10868 10797 4598 9906 4037 1092 11733 8582 5873
2440 2439 2441 491 490 365 2959 6241 10908 4565 3926 563 9295 5732 76 3447 3390 6061 7160 2962 856
4708 3166 5816 11717 1842 3500 6692 7985 8760 5166 7052 5282 2987 11544 7661 2795 9926 8033 7025 11843 10076
8412 2795 11544 8760 7985 3166 5816 3500 7661 6692 7144 8985 5282 11717 2987 2926 7931 1842 5838 8229 7052
2765 2763 8894 7565 11771 9109 2666 9176 1347 8018 9477 6999 10678 5485 1414 6346 5946 10747 9219 8678 6025
3669 3166 5816 8760 5166 7052 8033 1842 7985 6692 2987 7661 11544 11717 1085 2795 10076 8229 5282 3500 9040
2639 9808 6692 8033 3166 1842 11783 5166 5840 7661 877 7052 11843 9926 9040 5816 7214 11717 2539 2987 11917
413 6908 3319 7378 2169 4110 10360 6267 880 474 6643 283 185 2845 2693 2880 9002 1576 3288 3344 7376
7713 7715 11206 6149 4481 8861 8933 8934 1570 2666 7349 10181 9199 8932 6321 3498 9249 9484 11473 7166 2592
9169 5838 8985 641 5816 7985 11544 11801 9926 6993 3260 7661 2795 8846 3166 927 7896 7241 2539 7144 7733
4736 5270 4196 7521 1411 5267 9894 1654 2983 10374 7825 4227 7177 550 8310 2945 5262 2587 5823 1408 9891
468 4709 6873 6713 3063 1914 279 11757 4567 6939 11036 3569 1353 2663 309 1351 6940 972 1774 476 1787
6610 7985 5816 3166 11544 8760 5838 7052 3500 7144 7661 1842 6692 2987 8229 8033 5282 260 2795 3181 10120
